"fdc_id","food_desc","foodgroup","Edible_factor_in_FCT","WATERg","ENERCkJ","ENERCkcal","FAT_g","FASATg","F12D0g","F14D0g","F16D0g","F18D0g","FATRNg","FAMSg","F16D1g","F18D1g","FAPUg","F18D2N6g","F18D3N3g","F20D3N3g","F20D3N6g","F20D4N3g","F20D4N6g","F20D5N3g","F22D5N3g","F22D6N3g","omega_3","omega_6","CHOLEmg","CHOAVLg","STARCHg","mono_di","SUGARg","FIBTGg","PROCNTg","salt","ALCg","VITA_RAEmcg","RETOLmcg","CARTBmcg","VITDmcg","VITEmg","THIAmg","RIBFmg","NIAmg","VITB6_mg","FOLmcg","VITB12mcg","VITCmg","CAmg","FEmg","NAmg","Kmg","MGmg","ZNmg","SEmcg","CUmg","Pmg","IDmcg","scientific_name","nutrient_data_source","source_fct"
"01.222","Yoghurt, with muesli and berries","Milk and milk products",1,75,493,117,3.4,2.2,0.1,0.34,0.96,0.35,0.1,0.8,0.08,0.69,0.1,0.05,0.01,0,0,0,0,0,0,0,"0.01","0.01",8,17.1,6.1,"11",5.2,1,4,"0.1",0,33,31,20,0,0.1,0.04,0.1,0.1,0.03,3,0.4,0,125,0.1,40,175,12,0.5,2,0.01,91,15,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.096","Yoghurt, with strawberry","Milk and milk products",1,82,361,86,3.1,1.9,0.09,0.31,0.87,0.32,0.1,0.7,0.07,0.62,0.1,0.04,0.01,0,0,0,0,0,0,0,"0.01","0.01",8,10.5,0.2,"10.3",5.3,0,4,"0.1",0,37,35,18,0,0.1,0.05,0.2,0.1,0.03,3,0.4,0,140,0.1,47,198,14,0.5,2,0.01,102,17,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"1.3","Cream, sour cream and replacer","Milk and milk products",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.176","Coffee whitener, powder, Coffeemate","Milk and milk products",1,3,2286,548,34.5,26,1.18,3.59,9.43,3.75,0,7.5,0.47,7.18,0,0.57,0.14,0,0.02,0.01,0.03,0.02,0.02,0,"0.2","0.67",2,57.3,47.9,"9.4",0,0,2.1,"1",0,17,0,200,0,0.6,0,1,0,0,0,0,0,4,1.2,400,900,4,0.5,1,0.12,350,1,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.177","Coffee whitener, vegetable fat","Milk and milk products",1,85,442,107,10.2,8.6,4.5,1.38,0.73,1.45,0,0.8,0,0.12,0.3,0,0,0,0,0,0,0,0,0,"0","0",0,2.9,0,"2.9",2.9,0,0.9,"1.3",0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,160,NA,530,500,NA,NA,NA,NA,0,1,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.178","Cream substitute, vegetable fat, for cooking","Milk and milk products",1,88,368,89,8.2,1.3,3.67,1.13,0.6,1.18,0,1.8,0,0.1,4.8,0,0,0,0,0,0,0,0,0,"0","0",0,2.9,0,"2.9",2.9,0,0.9,"1.3",0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,160,NA,530,500,NA,NA,NA,NA,0,1,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.294","Cream substitute, vegetable fat, oat, 13 %","Milk and milk products",1,79,605,146,12.8,1,0,0,0.06,0.31,NA,7.7,0.02,7.52,3.3,2.43,0.91,NA,NA,NA,0,0,0,0,"0.91","2.4300000000000002",0,6.7,3.5,"3.2",NA,1,0.7,"0.1",0,0,0,0,0,0,0.02,0,0,0,7,0,0,18,0,48,31,4,0,0,NA,26,0,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.293","Cream substitute, vegetable fat, soy, 17 % fat","Milk and milk products",1,76,766,186,17.5,1.8,0.02,0.02,0.99,0.56,0,3.5,0.01,3.44,8.8,8.59,0.18,0,0,0,0,0,0,0,"0.28999999999999998","8.59",0,4.1,0.4,"3.7",NA,0,2.9,"0.1",0,0,0,0,0,16.4,0.03,0,0,0.02,11,0,0,11,0.3,55,72,13,0.2,0,0.1,43,1,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.179","Cream substitute, vegetable fat, whipped cream, canned","Milk and milk products",1,66,1075,260,25,21.3,11.01,3.38,1.79,3.54,0,1.9,0,0.3,0.7,0,0,0,0,0,0,0,0,0,"0","0",0,7.3,0,"7.3",7.3,0,1.5,"2.2000000000000002",0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,160,NA,880,440,NA,NA,NA,NA,0,1,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.189","Cream substitute, vegetable fat, whipping","Milk and milk products",1,85,428,103,8.3,7.1,3.67,1.13,0.6,1.18,0,0.6,0,0.1,0.2,0,0,0,0,0,0,0,0,0,"0","0",0,6.4,0,"6.4",6.4,0,0.7,"1.8",0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,180,NA,700,150,NA,NA,NA,NA,0,1,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
