"X0","X1","X2","V4"
"cis n-6 C22:2 /100g FA (g)","FAC22:2cn6","cis n-6 Docosadienoic acid per 100g fatty acids",NA
"cis n-6 C22:3 /100g FA (g)","FAC22:3cn6","cis n-6",NA
"C22:4 /100g FA (g)","FAC22:4","Docosatetraenoic acid per 100g fatty acids",NA
"cis n-6 C22:4 /100g FA (g)","FAC22:4cn6","cis n-6 Docosatetraenoic acid per 100g fatty acids",NA
"C22:5 /100g FA (g)","FAC22:5","Docosapentaenoic acid per 100g fatty acids",NA
"cis n-3 C22:5 /100g FA (g)","FAC22:5cn3","cis n-3 Docosapentaenoic acid per 100g fatty acids",NA
"C22:6 /100g FA (g)","FAC22:6","Docosahexaenoic acid (DHA) per 100g fatty acids",NA
"cis n-3 C22:6 /100g FA (g)","FAC22:6cn3","cis n-3 Docosahexaenoic acid (DHA) per 100g FA",NA
"unknown C22 poly /100g FA (g)","FAC22 poly","unknown C22 polyunsaturated fatty acid per 100g fatty acid",NA
"trans poly /100g FA (g)","POLYFACtr","trans polyunsatsaturated fatty acid per 100g fatty acid",NA
"C16:2 /100g food (g)","FOD16:2","Hexadecadienoic acid per 100g food",NA
"cis C16:2 /100g food (g)","FOD16:2c","cis Hexadecadienoic acid per 100g food",NA
"C16:3 /100g food (g)","FOD16:3","Hexadecatrienoic acid per 100g food",NA
"C16:4 /100g food (g)","FOD16:4","Hexadecatetraenoic acid per 100g food",NA
"cis C16:4 /100g food (g)","FOD16:4c","cis Hexadecatetraenoic acid per 100g food",NA
"unknown C16 poly /100g food (g)","FOD16 poly","unknown C16 polyunsaturated fatty acids per 100g food",NA
"C18:2 /100g food (g)","FOD18:2","Octadecadienoic acid per 100g food",NA
"cis n-6 C18:2 /100g food (g)","FOD18:2cn6","cis n-6 Octadecadienoic acid per 100g food",NA
"C18:3 /100g food (g)","FOD18:3","Octadecatrienoic acid per 100g food",NA
"cis n-3 C18:3 /100g food (g)","FOD18:3cn3","cis n-3 Octadecatrienoic acid per 100g food",NA
"cis n-6 C18:3 /100g food (g)","FOD18:3cn6","cis n-6 Octadecatrienoic acid per 100g food",NA
"C18:4 /100g food (g)","FOD18:4","Octadecatetraenoic acid per 100g food",NA
"cis n-3 C18:4 /100g food (g)","FOD18:4cn3","cis n-3 Octadecatetraenoic acid per 100g food",NA
"unknown C18 poly /100g food (g)","FOD18 poly","unknown C18 polyunsaturated fatty acid per 100g food",NA
"C20:2 /100g food (g)","FOD20:2","Eicosadienoic acid per 100g food",NA
"cis n-6 C20:2 /100g food (g)","FOD20:2cn6","cis n-6 Eicosadienoic acid per 100g food",NA
"C20:3 /100g food (g)","FOD20:3","Eicosatrienoic acid per 100g food",NA
"cis n-6 C20:3 /100g food (g)","FOD20:3cn6","cis n-6 Eicosatrienoic acid per 100g food",NA
