"fdc_id","food_desc_portuguese","food_desc","scientific_name","ISSCAAP","alpha_code","WATERg","ENERCkcal","ENERCkJ","PROCNTg","FATCEg","CHOLEmg","CHOCDFg","FIBTGg","ASHg","CAmg","MGmg","MNmg","Pmg","FEmg","NAmg","Kmg","CUmg","ZNmg","RETOLmcg","VITAmcg","VITA_RAEmcg","THIAmg","RIBFmg","VITB6Amg","NIAmg","VITCmg","source_fct","nutrient_data_source"
"1","Arroz, integral, cozido","Rice, brown, boiled (Arroz, integral, cozido)",NA,NA,NA,"70.138666666666666","123.53489250000001","516.86999022000009","2.5882499999999999","1.0003333333333333",NA,"25.809750000000001","2.7493333333333339","0.46300000000000002","5.2039999999999997","58.701999999999998","0.6273333333333333","105.85300000000001","0.26200000000000001","1.2446666666666666","75.151666666666657","2.0333333333333332E-2","0.68266666666666664",NA,NA,NA,"0.08","0","0.08","0",NA,"BR11","None listed"
"2","Arroz, integral, cru","Rice, brown, raw (Arroz, integral, cru)",NA,NA,NA,"12.179833333333335","359.67800203260879","1504.892760504435","7.3232858695652174","1.8648333333333333",NA,"77.45071413043479","4.8191666666666659","1.1813333333333333","7.8180000000000014","109.71","2.9933333333333336","250.86500000000001","0.94833333333333325","1.6456666666666666","173.34","7.4833333333333335E-2","1.3951666666666667",NA,NA,NA,"0.26166666666666666","0","0.17499999999999999","4.1833333333333336",NA,"BR11","None listed"
"3","Arroz, tipo 1, cozido","Rice, white (type 1), boiled (Arroz, tipo 1, cozido)",NA,NA,NA,"69.113666666666674","128.25848566666664","536.63350402933327","2.5208166666666667","0.22699999999999998",NA,"28.059849999999994","1.5609999999999999","7.8666666666666663E-2","3.5443333333333338","2.2533333333333334","0.29666666666666663","17.945","7.6666666666666661E-2","1.2006666666666665","14.673666666666668","1.4999999999999999E-2","0.49133333333333334",NA,NA,NA,"0","0","0","0",NA,"BR11","None listed"
"4","Arroz, tipo 1, cru","Rice, white (type 1), raw (Arroz, tipo 1, cru)",NA,NA,NA,"13.224499999999999","357.78927311594202","1496.9903187171014","7.1585398550724637","0.33500000000000002",NA,"78.759543478260866","1.6391666666666667","0.52241666666666675","4.4143333333333334","30.383666666666667","1.0323333333333331","104.20758333333335","0.67774749999999995","1.0191666666666666","62.499416666666669","0.11483333333333336","1.2248333333333334",NA,NA,NA,"0.16333333333333333","0","6.9166666666666668E-2","1.1166666666666667",NA,"BR11","None listed"
"5","Arroz, tipo 2, cozido","Rice, white (type 2), boiled (arroz, tipo 2, cozido)",NA,NA,NA,"68.727666666666664","130.11964833333332","544.42060862666665","2.5684166666666668","0.36166666666666664",NA,"28.192583333333332","1.0696666666666665","0.14966666666666664","3.3336666666666663","6.0533333333333337","0.371","21.521333333333331","5.0333333333333341E-2","1.9596666666666669","20.203333333333333","4.1000000000000002E-2","0.54933333333333334",NA,NA,NA,"0","0","0","0",NA,"BR11","None listed"
"6","Arroz, tipo 2, cru","Rice, white (type 2), raw (Arroz, tipo 2, cru)",NA,NA,NA,"13.164749999999998","358.11676145652171","1498.360529934087","7.2418829710144941","0.27550000000000002",NA,"78.88145036231883","1.7198333333333333","0.43641666666666667","4.8334999999999999","29.239083333333333","0.82799999999999996","82.043916666666661","0.59783333333333344","0.56883333333333341","57.28458333333333","5.1999999999999998E-2","1.2720833333333335",NA,NA,NA,"0.16333333333333333","0","4.9166666666666671E-2","0.91833333333333333",NA,"BR11","None listed"
"7","Aveia, flocos, crua","Oats, flakes, raw (Aveia, flocos, crua)",NA,NA,NA,"9.1333333333333329","393.82268944927546","1647.7541326557687","13.921026086956523","8.4966666666666661",NA,"66.635640579710156","9.1300000000000008","1.8133333333333335","47.89","118.76233333333333","1.8946666666666667","153.39666666666668","4.4466666666666663","4.6266666666666669","336.33333333333331","0.44","2.63",NA,NA,NA,"0.55333333333333334","0.03","0","4.47","1.35","BR11","None listed"
"8","Biscoito, doce, maisena","Biscuit, sweet, cornstarch (Biscoito, doce, maisena)",NA,NA,NA,"3.2166666666666668","442.81939014492752","1852.7563283663769","8.0725217391304334","11.966666666666669",NA,"75.234144927536221","2.1","1.51","54.45","37.143333333333331","0.77833333333333332","166.10333333333335","1.76","352.02666666666664","141.63999999999999","0.17","1.03",NA,NA,NA,"1.01","0.41666666666666669","0.23","3.9066666666666663","6.2166666666666659","BR11","None listed"
"9","Biscoito, doce, recheado com chocolate",NA,NA,NA,NA,"2.1833333333333331","471.82477971014498","1974.1148783072467","6.3972173913043484","19.583333333333332","0","70.549449275362321","2.956666666666667","1.2866666666666666","27.23","47.976666666666667","0.58799999999999997","139.44999999999999","2.27","239.2","232.4","0.27333333333333337","0.99333333333333329","0",NA,NA,"0.31666666666666665","0.39333333333333337","0.45666666666666661","2.5233333333333334","3.5266666666666668","BR11","None listed"
"10","Biscoito, doce, recheado com morango",NA,NA,NA,NA,"2.7333333333333338","471.17473623188408","1971.3950963942032","5.7198260869565214","19.573333333333334","0","71.013507246376818","1.5333333333333332","0.96","35.78","27.1","0.65900000000000014","137.74333333333334","1.48","229.81666666666669","113.01333333333334","0.12666666666666668","0.72666666666666657","0",NA,NA,"0.89666666666666661","0.42","0.21","1.4966666666666668","0","BR11","None listed"
