"ICS.FAOSTAT.SUA.Current.Code","ics_faostat_sua_english_description","quality_rating_for_food_match","source_fct","NDB_number","fdc_id","food_desc","scientific_name","ISSCAAP.Group","X3.alpha.code","Edible_factor_in_FCT","V105","SOPg","ENERCkcal","ENERCkJ","V106","V107","WATERg","PROCNTg","XN","FAT_g_standardised","FATg","FATCEg","FAT_g","V108","CHOCDFg","CHOAVLMg","CHOAVLg","CHOAVLDFg","V109","FIBTGg","NSPg","FIBCg","ALCg","ASHg","CAmg","FEmg","MGmg","Pmg","Kmg","NAmg","ZNmg","CUmg","MNmg","SEmcg","V110","V111","VITA_RAEmcg","VITAmcg","RETOLmcg","V112","CARTBEQmcg","CARTAmcg","CARTBmcg","CRYPXBmcg","V113","VITEmg","TOCPHAmg","TOCPHBmg","TOCPHGmg","TOCPHDmg","TOCTRAmg","TOCTRBmg","TOCTRGmg","V114","THIAmg","THIAHCLmg","RIBFmg","VITB6_mg_standardised","VITB6Cmg","VITB6Amg","VITB6_mg","V115","FOLDFEmcg","FOLmcg","FOLACmcg","FOLFDmcg","FOLSUMmcg","FOL_mcg","V116","NIAEQmg","NIAmg","V117","NIATRPmg","TRPmg","VITB12mcg","VITCmg","ASCLmg","FASATg","FAMSg","FAPUg","FATRNg","CHOLEmg","CHOL_mg","SUGARg","F22D6N3g","F20D5N3g","NIAmg_std","IDmcg","comment","fish_type","fish_prep","food_group","nutrient_data_source","specific_gravity","NTg","ALCg_100mL","VITDEQmcg","VITDmcg","CHOCALmcg","ERGCALmcg","CHOCALOHmcg","ERGCALOHmcg"
"1554","Crustaceans, frozen",NA,"IN17",NA,"Q008","Tiger Prawns, orange","Penaeus monodon","45","GIT",NA,NA,NA,NA,270,NA,NA,81.48,14.25,NA,"0.74",NA,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,71.89,0.39,30.5,191,140,61.05,1.16,0.41,0.02,54.22,NA,NA,NA,NA,6.55,NA,NA,NA,NA,NA,NA,2.87,2.87,0,0,0,0,0,0,NA,0.03,NA,0.03,0.11,NA,0.11,NA,NA,NA,NA,NA,NA,8.07,NA,NA,NA,1.18,NA,NA,1.01,NA,NA,NA,0.18,0.09,0.2,NA,19.47,NA,NA,0.05,0.07,1.18,NA,NA,"Crustaceans","frozen",NA,NA,NA,NA,NA,NA,NA,1.62,NA,0.63,NA
"1554","Crustaceans, frozen",NA,"IN17",NA,"S007","Crab","Pachygrapsus  sp.","42","",NA,NA,NA,NA,327,NA,NA,80.58,13.23,NA,"0.89",NA,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23,199,1.1,66.77,208,286,280,2.49,0.52,0.09,71.84,NA,NA,NA,NA,12.55,NA,NA,NA,NA,NA,NA,4.85,4.85,0,0,0,0,0,0,NA,0.01,NA,0.11,0.2,NA,0.2,NA,NA,NA,NA,NA,NA,17.83,NA,NA,NA,1.54,NA,NA,1.23,NA,NA,NA,0.21,0.14,0.26,NA,52.91,NA,NA,0.11,0.08,1.54,NA,NA,"Crustaceans","frozen",NA,NA,NA,NA,NA,NA,NA,1.2,NA,0.17,NA
"1554","Crustaceans, frozen",NA,"IN17",NA,"S008","Prawns, big","Macrobrachium rosenbergii","41","PRF",NA,NA,NA,NA,380,NA,NA,77.43,19.24,NA,"0.52",NA,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84,48.55,0.78,39.25,237,269,849,1.44,0.69,0.03,28.59,NA,NA,NA,NA,3.56,NA,NA,NA,NA,NA,NA,NA,2.85,0,0,0,0,0,0,NA,0,NA,0.02,0.19,NA,0.19,NA,NA,NA,NA,NA,NA,18.26,NA,NA,NA,1.31,NA,NA,2.14,NA,NA,NA,0.09,0.06,0.09,NA,87.28,NA,NA,0.03,0.03,1.31,NA,NA,"Crustaceans","frozen",NA,NA,NA,NA,NA,NA,NA,0.35,NA,0.1,NA
"1554","Crustaceans, frozen",NA,"IN17",NA,"S009","Prawns, small","Macrobrachium  sp.","41","PPF",NA,NA,NA,NA,297,NA,NA,82.58,13.07,NA,"0.78",NA,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,67.99,0.87,26.91,192,224,77.71,0.87,0.14,0.02,19.92,NA,NA,NA,NA,2.78,NA,NA,NA,NA,NA,NA,1.75,1.75,0,0,0,0,0,0,NA,0.01,NA,0.03,0.21,NA,0.21,NA,NA,NA,NA,NA,NA,13.06,NA,NA,NA,0.54,NA,NA,1.33,NA,NA,NA,0.2,0.15,0.17,NA,112,NA,NA,0.01,0.06,0.54,NA,NA,"Crustaceans","frozen",NA,NA,NA,NA,NA,NA,NA,0.95,NA,0.15,NA
"1554","Crustaceans, frozen",NA,"IN17",NA,"S010","Tiger prawns","Macrobrachium  sp.","41","PPF",NA,NA,NA,NA,284,NA,NA,83.24,14.24,NA,"0.66",NA,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,57.9,0.84,22.94,155,149,80.77,1.02,0.39,0.08,14.69,NA,NA,NA,NA,0.55,NA,NA,NA,NA,NA,NA,1.65,1.65,0,0,0,0,0,0,NA,0.01,NA,0.04,0.22,NA,0.22,NA,NA,NA,NA,NA,NA,18.75,NA,NA,NA,1.28,NA,NA,1.34,NA,NA,NA,0.13,0.12,0.14,NA,78.87,NA,NA,0.02,0.04,1.28,NA,NA,"Crustaceans","frozen",NA,NA,NA,NA,NA,NA,NA,1.34,NA,0.27,NA
"1554","Crustaceans, frozen",NA,"JA15",NA,"10319","Crustacean, northern shrimp, raw
[Syn. pink shrimp]",NA,"45","PAN",0.35,NA,NA,87,364,NA,NA,78.2,19.8,NA,"0.3",0.3,NA,NA,NA,NA,NA,NA,0.1,NA,0,NA,NA,NA,1.6,50,0.1,42,240,310,300,1,0.44,0.02,NA,NA,NA,3,NA,3,NA,0,0,0,0,NA,NA,3.4,0,0,0,NA,NA,NA,NA,NA,0.02,0.03,0.04,NA,0.04,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,1.1,NA,NA,190,2.4,0,NA,0.03,0.05,0.06,NA,130,NA,NA,0.03,0.03,1.1,NA,NA,"Crustaceans","frozen","Fish, mollusks and crustaceans","None listed",NA,NA,NA,NA,0,NA,NA,NA,NA
"1554","Crustaceans, frozen",NA,"JA15",NA,"10320","Crustacean, Japanese spiny lobster, raw",NA,"43","NUJ",0.3,NA,NA,92,385,NA,NA,76.6,20.9,NA,"0.4",0.4,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,2.1,37,0.1,39,330,400,350,1.8,0.65,0.02,NA,NA,NA,0,NA,0,NA,0,0,0,0,NA,NA,3.8,0,0,0,NA,NA,NA,NA,NA,0.01,0.03,0.14,NA,0.14,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,2.1,NA,NA,180,0.3,1,NA,0.03,0.03,0.07,NA,93,NA,NA,0.02,0.03,2.1,NA,NA,"Crustaceans","frozen","Fish, mollusks and crustaceans","None listed",NA,NA,NA,NA,0,NA,NA,NA,NA
"1554","Crustaceans, frozen",NA,"JA15",NA,"10321","Crustacean, Kuruma prawn, cultured, raw",NA,"45","KUP",0.45,NA,NA,97,406,NA,NA,76.1,21.6,NA,"0.6",0.6,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,1.7,41,0.7,46,310,430,170,1.4,0.42,0.02,35,NA,NA,4,NA,0,NA,49,0,49,0,NA,NA,1.6,0,0,0,NA,NA,NA,NA,NA,0.11,0.06,0.12,NA,0.12,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,3.8,NA,NA,190,1.9,0,NA,0.08,0.05,0.12,NA,170,NA,NA,0.04,0.04,3.8,4,NA,"Crustaceans","frozen","Fish, mollusks and crustaceans","None listed",NA,NA,NA,NA,0,NA,NA,NA,NA
"1554","Crustaceans, frozen",NA,"JA15",NA,"10327","Crustacean, Chinese prawn, raw
[Syn. fleshy prawn]",NA,"45","FLP",0.45,NA,NA,95,397,NA,NA,76.3,21.7,NA,"0.3",0.3,NA,NA,NA,NA,NA,NA,0.1,NA,0,NA,NA,NA,1.6,34,0.1,45,300,360,200,1.4,0.61,0.02,NA,NA,NA,6,NA,6,NA,4,0,4,0,NA,NA,1.8,0,0,0,NA,NA,NA,NA,NA,0.03,0.04,0.07,NA,0.07,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,2.4,NA,NA,200,2.1,1,NA,0.04,0.04,0.06,NA,160,NA,NA,0.02,0.02,2.4,NA,NA,"Crustaceans","frozen","Fish, mollusks and crustaceans","None listed",NA,NA,NA,NA,0,NA,NA,NA,NA
"1554","Crustaceans, frozen",NA,"JA15",NA,"10328","Crustacean, Shiba shrimp, raw",NA,"45","SHI",0.5,NA,NA,83,347,NA,NA,79.3,18.7,NA,"0.4",0.4,NA,NA,NA,NA,NA,NA,0.1,NA,0,NA,NA,NA,1.5,56,1,30,270,260,250,1,0.35,0.11,NA,NA,NA,4,NA,3,NA,20,0,20,0,NA,NA,1.7,0,0,0,NA,NA,NA,NA,NA,0.02,0.06,0.1,NA,0.1,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,2.2,NA,NA,200,1.1,2,NA,0.06,0.04,0.08,NA,170,NA,NA,0.03,0.03,2.2,NA,NA,"Crustaceans","frozen","Fish, mollusks and crustaceans","None listed",NA,NA,NA,NA,0,NA,NA,NA,NA
