"fdc_id","food_desc","food_group","source_fct","nutrient_data_source","ALCg","CARTAmcg","TOCPHAmg","ASHg","CHOAVLDFg","Available carbohydrate, FSANZ (g/100g)","CHOAVLg","CHOAVLMg","CARTBmcg","CARTBEQmcg","TOCPHBmg","Caffeine (mg/100g)","CAmg","Carbohydrate by difference, FSANZ (g/100g)","CHOLEmg","CUmg","TOCPHDmg","FOLDFEmcg","Dry matter (g/100g)","Edible_factor_in_FCT","Energy, total metabolisable (kcal) (kcal/100g)","ENERCkcal","Energy, total metabolisable (kJ) (kJ/100g)","ENERCkJ","Energy, total metabolisable, available carbohydrate, FSANZ (kcal) (kcal/100g)","Energy, total metabolisable, available carbohydrate, FSANZ (kJ) (kJ/100g)","Energy, total metabolisable, carbohydrate by difference, FSANZ (kcal) (kcal/100g)","Energy, total metabolisable, carbohydrate by difference, FSANZ (kJ) (kJ/100g)","FATg","Fatty acid 18:3 omega-3 (g/100g)","F20D5N3g","Fatty acid 22:5 omega-3 (g/100g)","F22D6N3g","Fatty acid cis, trans 18:2 omega-9, 11 (g/100g)","Fatty acid cis,cis 18:2 omega-6 (g/100g)","Fatty acids, total long chain polyunsaturated omega-3 (g/100g)","FAMSg","FAPUg","Fatty acids, total polyunsaturated omega-3 (g/100g)","Fatty acids, total polyunsaturated omega-6 (g/100g)","FASATg","FATRNg","FIBTGg","FIBINSg","FIBSOLg","FOLFDmg","FOLmg","FOLACmg","Fructose (g/100g)","TOCPHGmg","Glucose (g/100g)","IDmcg","FEmg","Lactose (g/100g)","MGmg","Maltose (g/100g)","MNmcg","NIATRPmg","NIAEQmg","NIAmg","NTg","Pmg","Kmg","PROCNTg","RETOLmcg","RIBFmg","SEmcg","NAmg","STARCHg","SUCSg","SUGADg","Sugar, free (g/100g)","SUGARg","THIAmg","CHOCDFg","CHOCSMg","TRPmg","VITA_RAEmcg","VITAmcg","VITB12mcg","VITB6Amg","VITCmcg","VITDmcg","VITEmg","WATERg","ZNmg"
"L36","Blackberry, stewed","Fruits","NZ18","pubgzcdr","0",NA,"3","0.51","10.3","13.47","13.47","13.89","62","62",NA,"0","54","10.3","0","0.1",NA,"5","15.4",1,"59.3","66.099999999999994","251.86","279.06","66.760000000000005","279.06","53.86","225.13","0.13",NA,NA,NA,NA,NA,NA,NA,"1.4E-2","8.4000000000000005E-2",NA,NA,"5.0000000000000001E-3",NA,"3.4",NA,NA,"5","5","0","2.5",NA,"2.5","0.15","0.8","0","26","0","1220","0.2","0.5","0.3","0.17","21","180","1.06","0","0.03","0.08","3","0","8.4700000000000006","0","0","13.47","0.03","13.7","16.87",NA,"5.17","10.35","0","0.03","15","0","3","84.6","0.25"
"L37","Blackberry, frozen, unsweetened","Fruits","NZ18","pzcdbrug","0","0","1.61","0.48","8.65","7.3","7.3","7.31","76","76",NA,"0","33.6","8.64","0","0.14000000000000001",NA,"34","16.16",1,"38.020000000000003","48.88","160.99","204.43","48.91","204.43","54.38","227.29","0.48",NA,NA,NA,NA,NA,NA,NA,"5.2999999999999999E-2","0.312",NA,NA,"1.9E-2",NA,"5.43",NA,NA,"34","34","0","3.7",NA,"3.5","0.21","0.61","0","20.2","0","961","0.2","0.6","0.4","0.18","19.2","154","1.1299999999999999","0","0.02","0.1","3.75","0.1","0","0","0","7.2","0.02","14.08","12.73",NA,"6.33","12.69","0","0.02","7.8","0","1.61","83.84","0.34"
"L38","Blackcurrant, frozen, unsweetened, Magnus,","Fruits","NZ18","pzcdrubg","0","0","1.32","0.69","10.51","7.4","7.4","7.43","252","252",NA,"0","51.5","10.51","0","0.18",NA,"3","18.54",0.99,"42.39","52.71","179.15","220.43","52.73","220.43","65.36","273.20999999999998","0.81",NA,NA,NA,NA,NA,NA,NA,"0.13900000000000001","0.42799999999999999",NA,NA,"8.1000000000000003E-2",NA,"5.16",NA,NA,"3","3","0","3.71",NA,"3.28","0.13","1.01","0","19.3","0","221","0.1","0.4","0.3","0.22","40.5","230","1.38","0","0.01","0.13","4.51","0.14000000000000001","0.27","0","0","7.26","0.01","15.67","12.56",NA,"21","42.08","0","7.0000000000000007E-2","202","0","1.32","81.459999999999994","0.32"
"L39","Blueberry, frozen, unsweetened, Jersey","Fruits","NZ18","pzcdagru","0","0","1.77","0.24","13","12.02","12.02","12.07","204","204",NA,"0","11","13","0","0.05",NA,"7","16.63",1,"54.43","59.03","230.83","249.23","59.62","249.23","63.62","265.93","0.4",NA,NA,NA,NA,NA,NA,NA,"4.3999999999999997E-2","0.26",NA,NA,"1.6E-2",NA,"2.2999999999999998",NA,NA,"7","7","0","5.7",NA,"5.6","0.21","0.52","0","7","0","650","0.1","0.62","0.52","0.11","13","70","0.69","0","0.01","0.1","5.8","0.22","0.5","0","0","11.8","0.02","15.3","14.32",NA,"17","34.07","0","0.06","9.9","0","1.77","83.37","0.25"
"L4","Apple, flesh & skin, raw, Gala","Fruits","NZ18","pzcdarub","0","0","0.25","0.16","10.47","10.17","10.17","10.33","65","65",NA,"0","5.53","10.47","0","0.03",NA,"2.8","14.16",0.93,"46.9","52.3","198.6","220.2","52.68","220.2","53.9","225.3","0.57999999999999996",NA,NA,NA,NA,NA,NA,NA,"3.9E-2","0.27500000000000002",NA,NA,"0.152",NA,"2.7",NA,NA,"2.8","2.8","0","5.21",NA,"2.48","0.2","0.17","0","3.52","0","24.7","0.04","0.16","0.12","0.04","6.3","43.7","0.25","0","0.01","0.09","0.45","0.78","1.7","0","0","9.39","0.02","13.17","12.87",NA,"5.42","10.86","0","0","4.0999999999999996","0","0.25","85.84","0.06"
"L40","Boysenberry, raw","Fruits","NZ18","przcdgua","0","0","1.1000000000000001","0.67","8.07","7.21","7.21","7.34","301","301",NA,"0","24","6.09","0","0.22",NA,"63.3","14.83",1,"39.64","48.18","167.6","201.76","54.4","227.4","49.86","208.4","0.7",NA,NA,NA,NA,NA,NA,NA,"7.6999999999999999E-2","0.45500000000000002",NA,NA,"2.7E-2",NA,"4.2699999999999996",NA,NA,"63.3","63.3","0","2.15",NA,"2.54","0.21","0.76","0","16","2.25","547","0.3","1.07","0.77","0.18","19","150","1.1299999999999999","0","0.02","0.1","2.6","0.08","0.19","0","0","7.13","0.01","12.34","11.48",NA,"25.08","50.27","0","0.01","9.1","0","1.1000000000000001","85.17","0.53"
"L42","Cherry, cooking, flesh & skin, raw","Fruits","NZ18","pubrzcda","0","0","0.1","0.53","13.3","11.4","11.4","11.41","26","26",NA,"0","17","13.3","0","0.1",NA,"7","17.2",0.84,"50.9","55.5","216.08","234.48","56.09","234.48","63.8","266.69","0.2",NA,NA,NA,NA,NA,NA,NA,"5.5E-2","0.06",NA,NA,"4.4999999999999998E-2",NA,"2.2999999999999998",NA,NA,"7","7","0","5.3",NA,"5.9","0.13","0.3","0","10","0","83","0.1","0.4","0.3","0.14000000000000001","18","264","0.88","0","0.06","0.66","3","0","0.2","0","0","11.4","0.04","15.6","13.7",NA,"2.17","4.34","0","0.04","4","0","0.1","82.8","0.1"
"L43","Cherry, cooking, stewed with sugar","Fruits","NZ18","prubgzcda","0",NA,"0.09","0.38","22.58","20.38","20.38","20.9","18","18",NA,"0","14","22.58","0","0.06",NA,"3","24.9",1,"85.62","87.82","363.7","372.5","89.11","372.5","98.07","409.94","0.15",NA,NA,NA,NA,NA,NA,NA,"4.1000000000000002E-2","4.4999999999999998E-2",NA,NA,"3.4000000000000002E-2",NA,"1.1000000000000001",NA,NA,"3","3","0","4.8",NA,"5.2","1.44","0.18","0","8","0","59","0.09","0.27","0.18","0.11","15","211","0.69","0","0.05","0.49","2","0","10.38","11.43","11.43","20.38","0.03","23.68","21.48",NA,"1.5","3.01","0","0.02","3","0","0.09","75.099999999999994","0.09"
"L44","Cherry, cooking, stewed","Fruits","NZ18","pbcruzgda","0",NA,"0.09","0.31","12.55","10.1","10.1","10.11","20","20",NA,"0","16","12.55","0","7.0000000000000007E-2",NA,"3","15.1",1,"44.82","47.42","190.32","200.72","48.02","200.72","57.99","242.4","0.13",NA,NA,NA,NA,NA,NA,NA,"3.5000000000000003E-2","0.04",NA,NA,"2.9000000000000001E-2",NA,"1.3",NA,NA,"3","3","0","4.7",NA,"5.2","1.44","0.27","0","9","0","62","0.09","0.36","0.27","0.13","15","227","0.81","0","0.05","0.53","3","0","0.2","0","0","10.1","0.03","13.85","11.4",NA,"1.67","3.34","0","0.02","3","0","0.09","84.9","0.09"
"L45","Cherry, flesh & skin, raw","Fruits","NZ18","puzcdbr","0","0","0.42","0.56000000000000005","17.36","13.98","13.98","14","26","26",NA,"0","15.6","17.36","0","0.1","0","6","20.38",0.9,"61.92","64.459999999999994","262.85000000000002","273.01","65.31","273.01","79.069999999999993","330.51","0.25",NA,NA,NA,NA,NA,NA,NA,"6.8000000000000005E-2","7.5999999999999998E-2",NA,NA,"5.6000000000000001E-2",NA,"1.27",NA,NA,"6","6","0","6.5","0","7.2","0.13","0.73","0","11.6","0","89.5","0.2","0.6","0.4","0.15","21.1","211","0.94","0","0","0.66","3.35","0.08","0.2","0","0","13.9","0.03","18.63","15.25",NA,"2.17","4.34","0","0.05","20","0","0.42","79.62","0.08"
