"fdc_id","food_desc","food_group","food_desc_bengali","scientific_name","nutrient_data_source","source_fct","Edible_factor_in_FCT","ENERCkcal","ENERCkJ","WATERg","PROCNTg","FATCEg","CHOAVLDFg","FIBTGg_standardised","FIBTGg","FIBCg","ASHg","CAmg","FEmg","MGmg","Pmg","Kmg","NAmg","ZNmg","CUmg","VITA_RAEmcg","RETOLmcg","CARTBEQ or [CARTB]mcg","CARTAmcg","CARTBmcg","CRYPXmcg","VITDmcg","VITEmg","TOCHPAmg","THIAmg","RIBFmg","NIAEQmg","NIAmg","NIATRPmg","VITB6Amg","FOLmcg","ASCLmg","ILEmg","LEUmg","LYSmg","METmg","CYSmg","PHEmg","TYRmg","THRmg","TRPmg","VALmg","ARGmg","HISmg","ALAmg","ASPmg","GLUmg","GLYmg","PROmg","SERmg","PHTACmg","OXALACmg","TPC mg GAE","DPPH-RSCµmol TE","T-ORAC mcmole TE","FASATg","FAMSg","FAPUg","CHOL_mg","F4D0g","F6D0g","F8D0g","F10D0g","F12D0g","F14D0g","F15D0g","F16D0g","F17D0g","F18D0g","F20D0g","F22D0g","F24D0g","F14D1g","F14D1CN5g","F16D1g","F16D1CN7g","F18D1g","F18D1N9g","F18D1CN7g","F20D1g","F20D1CN11g","F20D1CN9g","F22D1g","F22D1CN9g","F22D1CN11g","F24D1CN9g","F18D2g","F18D2CN6g","F20D2g","F18D3g","F18D3CN3g","F18D3N6g","F20D3N6g","F18D4g","F18D4CN3g","F20D4g","F20D4CN6g","F20D5CN3g","F22D5CN3g","F22D6CN3g","SUGARg"
"09_0061","Shrimp, Speckled, raw","Fish, shellfish and their products","Chingri, Horina","Metapenaeus monoceros","R4, T42","BA13",NA,"81","341","78.905000000000001","16.995000000000001","1.42","0","0","0",NA,"2.0249999999999999","421","0.55070012210080477","26.263179541397566","941","503","116.84335384346086","1.357036808243498","0.56431858965838066",NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09_0062","Silver carp, without bones, raw","Fish, shellfish and their products","Silver carp, kata chara","Hypophthalmichthys molitrix","T38, T68, T19, P64, P92, P93, R5, Shak","BA13","0.78","123","517","75.578749999999999","17.453333333333337","5.9557142857142855","0","0","0",NA,"1.05","21.7","1.5107950000000003","26.855","182.14808254430983","224.53500000000003","114.81","0.27600000000000002","1.75125E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.084912294615472E-2","9.2908784504355649E-2","4.9728608029685848","1.6173601872857089","3.3555006156828764","0.27306219098941059",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09_0063","Silver needle fish, eyes included, raw","Fish, shellfish and their products","Kakila, chokh soho","Xenentodon cancila","R4, P56, P64, T70, DK7 (0082), T102","BA13",NA,"94","396","76.883333333333326","16.563333333333333","3.0933333333333333","0","0","0",NA,"3.4266666666666663","210","0.82","25","470","243.00000000000003","55","0.93599999999999994","0.10200000000000001","65.416666666666671","60.75","56",NA,"56",NA,NA,"1.9476543209876542",NA,"1.2E-2","8.5000000000000006E-2","12.5","8.5","4","0.9","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09_0064","Spotted snakehead, raw","Fish, shellfish and their products","Taki, kata chara","Channa punctatus","R4, P56, R5, P64, T19, T68, T70, T47, P93, T102, TH (THG47)","BA13",NA,"91","384","78.186666666666653","17.337499999999999","2.4","0","0","0",NA,"4.003333333333333","624","1.5183024999999999","35","440","245","67.789999999999992","1.0767899999999999","0.156","191.38222222222223","90.666666666666671","25",NA,"25.33",NA,NA,NA,NA,"0.04","0.05",NA,"2",NA,"0.24390219963279303",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09_0065","Stinging catfiah, raw","Fish, shellfish and their products","Shing mach, kata chara","Heteropneustes fossilis","P6( 957), R4, T44, P64, P92, T41, T63, IND (385), T102","BA13","0.75","101","423","76.653750000000002","17.237500000000001","3.5214285714285718","0","0","0",NA,"2.5391999999999997","319.10000000000002","2.1266666666666665",NA,"304.125","434.04","82.8","0.55000000000000004",NA,"15.666666666666666","14.75","11",NA,"11",NA,NA,NA,NA,"7.7290222104997267E-2","8.8819028929101207E-2",NA,"0.58365624999999999",NA,"0.26104225526484215",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09_0066","Stone roller, raw","Fish, shellfish and their products","Tatkini","Crossocheilus latius","P47, R4, TH (THG116), BID (0900085, 0900160, 0900161, 0900160 )","BA13","0.77","97","405","76.240000000000009","15.32","3.92","0","0","0",NA,"2.59","195","2.1599999999999997","51.750937924784772","124","834","35","1.0945174444947892","9.114997734481195E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.08","7.1999999999999981E-2","4.8382115034461188","1.5735672027397622","3.2646443007063568","0.26566853285185621",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09_0067","Striped snake-head, raw","Fish, shellfish and their products","Shol, kata chara","Channa striata","P64, T14, P63, P92, T70, P6,  TH (THG47)","BA13","0.77","101","424","78.388750000000002","17.7425","3.3","0","0","0",NA,"1.415","103.82","1.04125","42.650000000000006","130.29","362.42500000000001","50.2","0.30571428571428572","0.19600000000000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.04","0.05",NA,"2",NA,"0.2416426380721666",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09_0068","Tilapia, without bones, raw","Fish, shellfish and their products","Telapia, kata chara","Oreochromis mossambicus","KF, UK6(16-154), US 25 (15261), R5","BA13","0.3","110","466","76.210650000000001","20.803000000000001","3.0249999999999999","0","0","0",NA,"1.079","19.3","0.49435361333047917","35.878999999999998","350","340.51","55.064999999999998","1.4","0.11378125621854233","2.0329999999999999","2.0329999999999999","0",NA,NA,"0","5.5161764705882348",NA,"0.71","0.97","8.7999999999999995E-2","8.0268438333333343","3.1","4.9268438333333338","0.11070199999999999","24","0","762","1493","1598","676","145","820","609","897","296","942","1275","483","2220","1902","3491","1415","894","810",NA,NA,NA,NA,NA,"1.0760000000000001","1.1599999999999999","0.439","50",NA,NA,NA,NA,NA,"8.6999999999999994E-2",NA,"0.75800000000000001",NA,"0.19",NA,NA,"4.2000000000000003E-2",NA,NA,NA,"0.153",NA,"0.96199999999999997",NA,NA,NA,"4.3999999999999997E-2",NA,NA,NA,NA,NA,"0.29499999999999998",NA,NA,"1.7999999999999999E-2","1.7999999999999999E-2","2.1999999999999999E-2",NA,NA,NA,NA,NA,NA,"5.8000000000000003E-2",NA
"09_0069","Tuna, without bones, raw","Fish, shellfish and their products","Tuna, kata chara","Euthynnus affinis","T67, DK7 (0321), US25 (15123), UK6(16-228)","BA13","0.57999999999999996","118","497","72.005714285714291","25.00714285714286","1.9514285714285715","0","0","0",NA,"1.3","16","1.2785714285714285","33","311.51285714285717","427.30428571428575","47","0.26857142857142857","0.15","30.913719943422915","30.913719943422915","0",NA,NA,NA,"3.1226086956521741",NA,NA,"0.19","0.13","19.314127040532544","14.653704962610465","4.6604220779220782","0.85","8.6433038749150253","0","1153","2032","2296","740","268","976","845","1096","280","1288","1496","737","1513","2561","3733","1200","885","1021",NA,NA,NA,NA,NA,"0.63373125884016968","0.3671004243281471","0.6086138613861386","47",NA,NA,NA,NA,NA,"7.7284299858557295E-2",NA,"0.45018104667609621",NA,"0.10626591230551628",NA,NA,NA,NA,NA,"6.9555869872701556E-2",NA,"0.25310608203677515",NA,NA,"3.284582743988685E-2",NA,NA,"1.15926449787836E-2",NA,NA,NA,"3.0913719943422915E-2",NA,NA,NA,NA,NA,NA,"7.7284299858557289E-3",NA,"5.0234794908062236E-2",NA,"0.13717963224893917","2.5117397454031118E-2","0.35743988684582745",NA
"09_0070","Walking catifish, without bones, raw","Fish, shellfish and their products","Magur, kata chara","Clarias batrachus","P6 (938), P64, R4, P92, T70, P8, BID (0900601), TH (THG73), T102, ADB(0901305)","BA13","0.79","103","434","77.573333333333338","15.56","4.58","0","0","0",NA,"1.125","26.77","0.75750000000000006","24.75","180","344.47","71.2","0.53149999999999997","6.4000000000000001E-2","15.333333333333332","10","64",NA,"64",NA,NA,NA,NA,"0.03","0.06",NA,"1.7",NA,"0.25076008544153883",NA,"0","723","1231","1378","330",NA,"634","373","686",NA,"763","932","310","979","1566",NA,"1043","653","544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
